episode,timestep,reward
2,60,0.0
5,120,0.0
8,180,0.0
11,240,-0.3333
14,300,-0.3333
16,360,0.0
19,420,-0.3333
22,480,-0.3333
26,540,0.0
30,600,1.25
36,660,1.8333
38,720,0.0
42,780,0.5
49,840,0.1429
52,900,0.0
55,960,2.3333
59,1020,0.75
65,1080,0.1667
71,1140,0.0
76,1200,1.2
81,1260,5.6
87,1320,2.6667
91,1380,2.5
96,1440,2.8
101,1500,-0.6
105,1560,1.0
108,1620,2.0
113,1680,3.8
120,1740,2.5714
123,1800,7.0
129,1860,2.6667
137,1920,1.5
144,1980,1.1429
152,2040,0.875
159,2100,0.5714
166,2160,2.8571
172,2220,1.5
178,2280,4.1667
182,2340,2.5
187,2400,3.2
194,2460,2.2857
201,2520,-0.2857
207,2580,3.3333
213,2640,7.8333
220,2700,4.0
228,2760,2.25
233,2820,4.8
238,2880,9.0
248,2940,1.9
254,3000,2.8333
264,3060,3.1
274,3120,2.9
278,3180,11.0
288,3240,6.3
299,3300,2.0909
306,3360,6.7143
313,3420,5.2857
322,3480,3.7778
328,3540,10.3333
335,3600,9.8571
344,3660,4.5556
350,3720,8.5
355,3780,11.0
362,3840,5.4286
366,3900,7.75
375,3960,7.2222
382,4020,5.4286
390,4080,7.25
393,4140,19.6667
398,4200,16.6
404,4260,6.6667
409,4320,20.0
414,4380,10.6
418,4440,8.5
426,4500,9.375
431,4560,8.8
437,4620,9.6667
442,4680,10.6
447,4740,12.4
455,4800,6.375
461,4860,8.6667
468,4920,12.1429
472,4980,16.75
475,5040,20.0
481,5100,10.8333
487,5160,14.5
491,5220,22.0
496,5280,15.0
498,5340,44.0
504,5400,11.5
508,5460,22.5
514,5520,9.8333
518,5580,20.0
522,5640,20.5
525,5700,26.6667
529,5760,12.25
536,5820,16.4286
539,5880,15.0
544,5940,15.0
547,6000,33.3333
551,6060,26.25
557,6120,9.6667
562,6180,10.8
569,6240,10.2857
574,6300,11.0
579,6360,9.8
582,6420,33.6667
587,6480,17.8
593,6540,13.0
596,6600,26.3333
598,6660,34.5
603,6720,15.2
606,6780,38.6667
610,6840,12.25
614,6900,17.75
620,6960,12.1667
624,7020,23.75
627,7080,24.6667
632,7140,15.4
637,7200,15.0
642,7260,16.8
646,7320,21.0
650,7380,20.25
654,7440,19.0
660,7500,12.5
663,7560,18.6667
669,7620,14.0
672,7680,19.3333
677,7740,16.2
681,7800,18.75
685,7860,24.0
688,7920,31.6667
690,7980,37.5
693,8040,34.3333
696,8100,32.0
699,8160,28.0
707,8220,9.875
709,8280,47.5
712,8340,18.0
715,8400,43.3333
717,8460,46.5
719,8520,40.0
722,8580,29.0
725,8640,41.0
728,8700,32.6667
732,8760,19.25
734,8820,27.0
738,8880,25.25
742,8940,32.0
746,9000,23.75
748,9060,40.5
750,9120,52.5
752,9180,51.5
754,9240,52.0
757,9300,33.6667
761,9360,23.5
764,9420,18.0
766,9480,41.0
769,9540,45.6667
772,9600,28.0
775,9660,21.6667
779,9720,26.25
781,9780,48.0
784,9840,27.0
788,9900,26.0
791,9960,26.6667
795,10020,17.25
797,10080,42.0
800,10140,33.6667
804,10200,14.75
806,10260,50.5
809,10320,39.6667
813,10380,20.0
815,10440,49.0
817,10500,44.0
819,10560,44.5
822,10620,37.0
825,10680,26.3333
827,10740,32.0
830,10800,36.3333
832,10860,35.0
836,10920,30.5
838,10980,51.5
841,11040,29.3333
843,11100,50.0
846,11160,25.6667
848,11220,46.0
850,11280,50.5
852,11340,48.0
855,11400,28.6667
857,11460,49.5
859,11520,40.0
861,11580,50.5
864,11640,44.3333
866,11700,48.0
869,11760,29.6667
872,11820,31.0
874,11880,33.0
879,11940,10.8
883,12000,26.5
885,12060,35.5
888,12120,39.3333
890,12180,46.0
892,12240,47.5
894,12300,46.0
896,12360,45.5
898,12420,28.0
901,12480,40.0
903,12540,48.5
905,12600,40.5
907,12660,45.0
909,12720,40.0
912,12780,35.3333
915,12840,35.0
918,12900,26.3333
920,12960,50.0
922,13020,46.0
924,13080,52.0
927,13140,38.0
929,13200,27.0
932,13260,45.6667
934,13320,27.5
936,13380,41.5
938,13440,48.0
942,13500,31.75
944,13560,31.0
946,13620,49.5
948,13680,44.0
951,13740,33.6667
955,13800,31.75
958,13860,24.0
960,13920,31.5
962,13980,49.0
965,14040,42.3333
967,14100,27.5
969,14160,48.0
973,14220,24.25
975,14280,49.0
977,14340,42.5
980,14400,41.3333
